역명,걸리는시간
기흥,0
강남대,1
지석,1
어정,1
동백,1
초당,2
삼가,1
시청·용인대,1
명지대,1
김량장,1
운동장·송담대,2
고진,1
보평,1
둔전,1
전대·에버랜드,2
