역명,걸리는시간
서울,0
공덕,4
홍대입구,4
디지털미디어시티,4
마곡나루,7
김포공항,3
계양,7
검암,6
청라국제도시,4
영종,9
운서,4
공항화물청사,4
인천공항1터미널,4
인천공항2터미널,6
