역명,걸리는시간
검단오류,0
왕길,1.3
검단사거리,2.07
마전,1.43
완정,1.16
독정,1.12
검암,1.56
검바위,1.15
아시아드경기장,2
서구청,1.07
가정,2.16
가정중앙시장,1.36
석남,1.23
서부여성회관,1.12
인천가좌,1.29
가재울,1.59
주안국가산단,1.49
주안,1.15
시민공원,1.38
석바위시장,1.16
인천시청,1.04
석천사거리,1.17
모래내시장,1.07
만수,1.17
남동구청,2.11
인천대공원,2
운연,2.06
