역명,걸리는시간
대화,0
주엽,3
정발산,3
마두,2
백석,2
대곡,4
화정,3
원당,3
원흥,5
삼송,3
지축,4
구파발,1.5
연신내,2
불광,1.3
녹번,1.1
홍제,1.6
무악재,0.9
독립문,1.1
경복궁,1.6
안국,1.1
종로3가,1
을지로3가,0.6
충무로,0.7
동대입구,0.9
약수,0.7
금호,0.8
옥수,0.8
압구정,2.1
신사,1.5
잠원,0.9
고속터미널,1.2
교대,1.6
남부터미널,0.9
양재,1.8
매봉,1.2
도곡,0.8
대치,0.8
학여울,0.8
대청,0.9
일원,1.2
수서,1.8
가락시장,1.4
경찰병원,0.8
오금,0.8
