역명,걸리는시간
북한산우이,0
솔밭공원,1
4·19민주묘지,1
가오리,1
화계,1
삼양,5
삼양사거리,5
솔샘,5
북한산보국문,6
정릉,6
성신여대입구,6
보문,5
신설동,6
