역명,걸리는시간
청량리,0
왕십리,5
서울숲,3
압구정로데오,2
강남구청,3
선정릉,2
선릉,2
한티,2
도곡,1
구룡,1
개포동,2
대모산입구,2
수서,3
복정,4
가천대,3
태평,2
모란,2
야탑,3
이매,3
서현,2
수내,2
정자,2
미금,3
오리,2
죽전,3
보정,3
구성,3
신갈,2
기흥,2
상갈,3
청명,4
영통,2
망포,3
매탄권선,3
수원시청,3
매교,2
수원,2
고색,3
오목천,2
어천,4
야목,2
사리,4
한대앞,2
중앙,2
고잔,1
초지,2
안산,2
신길온천,2
정왕,2
오이도,2
달월,2
월곶,2
소래포구,1
인천논현,1
호구포,1
남동인더스파크,1
원인재,1
연수,1
송도,3
인하대,2
숭의,2
신포,2
인천,1
