역명,걸리는시간
임진강,0
문산,9
파주,4
월롱,3
금촌,4
금릉,2
운정,4
야당,1
탄현,2
일산,3
풍산,2
백마,3
곡산,2
대곡,3
능곡,3
행신,2
강매,2
화전,3
수색,4
디지털미디어시티,2
가좌,2
홍대입구,2
서강대,2
공덕,2
효창공원앞,2
용산,3
이촌,4
서빙고,3
한남,3
옥수,3
응봉,3
왕십리,2
청량리,4
회기,3
중랑,3
상봉,2
망우,1
양원,3
구리,4
도농,3
양정,4
덕소,3
도심,3
팔당,5
운길산,5
양수,3
신원,4
국수,3
아신,3
오빈,3
양평(중앙),6
원덕,4
용문,5
지평,4
