역명,걸리는시간
임진강,0
문산,9
파주,4
월롱,3
금촌,4
금릉,2
운정,4
야당,1
탄현,2
일산,3
풍산,2
백마,3
곡산,2
대곡,3
능곡,3
행신,2
강매,2
화전,3
수색,4
디지털미디어시티,2
가좌,2
신촌(경의선),3
서울,5
