역명,걸리는시간
당고개,0
상계,1.2
노원,1
창동,1.4
쌍문,1.3
수유,1.5
미아,1.4
미아사거리,1.5
길음,1.3
성신여대입구,1.4
한성대입구,1
혜화,0.9
동대문,1.5
동대문역사문화공원,0.7
충무로,1.3
명동,0.7
회현,0.7
서울,0.9
숙대입구,1
삼각지,1.2
신용산,0.7
이촌,1.3
동작,2.7
이수(총신대),1.8
사당,1.1
남태령,2.2
선바위,3
경마공원,2
대공원,2
과천,2
정부과천청사,2
인덕원,4
평촌,2
범계,2
금정,4
산본,4
수리산,2
대야미,3
반월,2
상록수,4
한대앞,2
중앙,2
고잔,2
초지,2
안산,3
신길온천,3
정왕,3
오이도,2
