역명,걸리는시간
청량리,0
회기,4
중랑,2
상봉,1
망우,2
신내,3
갈매,4
별내,1
퇴계원,3
사릉,2
금곡,5
평내호평,2
천마산,5
마석,2
대성리,8
청평,7
상천,5
가평,6
굴봉산,8
백양리,3
강촌,5
김유정,6
남춘천,5
춘천,3
