역명,걸리는시간
방화,0
개화산,0.9
김포공항,1.2
송정,1.2
마곡,1.1
발산,1.2
우장산,1.1
화곡,1
까치산,1.2
신정,1.3
목동,0.8
오목교,0.9
양평,1.1
영등포구청,0.8
영등포시장,0.9
신길,1.1
여의도,1
여의나루,1
마포,1.8
공덕,0.8
애오개,1.1
충정로,0.9
서대문,0.7
광화문,1.1
종로3가,1.2
을지로4가,1
동대문역사문화공원,0.9
청구,0.9
신금호,0.9
행당,0.8
왕십리,0.9
마장,0.7
답십리,1
장한평,1.2
군자,1.5
아차산,1
광나루,1.5
천호,2
강동,0.8
길동,0.9
굽은다리,0.8
명일,0.7
고덕,1.2
상일동,1.1
강일,1
미사,1
하남풍산,2
하남시청,1
하남검단산,2
